一    yī: one
二    èr: two
三    sān: three
四    sì: four
五    wǔ: five
六    liù: six
七    qī: seven
八    bā: eight
九    jiǔ: nine
十    shí: ten
日    rì: sun
月    yuè: moon, month
人    rén: person
大    dà: big
头    tóu: head, first
太    tài: too, the greatest
天    tiān: day, sky
夫    fū: husband, man
入    rù: to enter
从    cóng: from, follow
北    běi: north
比    bǐ: compare, than
明    míng: bright, know
早    zǎo: morning, early, long ago
白    bái: white, in vain
百    bǎi: hundred
时    shí: time, hour
是    shì: am, is, are, correct
上    shàng: upper, go up
下    xià: lower, down
口    kǒu: mouth
古    gǔ: ancient
叫    jiào: to (be) call(ed)
听    tīng: to listen, to hear
言    yán: words, say
信    xìn: letter, believe
手    shǒu: hand
又    yòu: again, and
双    shuāng: pair, dual, both
友    yǒu: friend
有    yǒu: to have, there is/are, posses
受    shòu: receive, endure, accept
爱    ài: to love
争    zhēng: contend, argue, struggle, fight,
反    fǎn: inversive, on the contrary, wrong side out or up / anti-
饭    fàn: meal, cooked rice
取    qǔ: to take, to get, to choose, to fetch
最    zuì: most
左    zuǒ: left
右    yòu: right
了    le / liǎo: verb ending / understand, finish, settle
子    zǐ / zi: child, son / noun suffix
字    zì: character, word
个    gè: (a measure word), individual
中    zhōng / zhòng: center, China / hit
才    cái: just, not until, ability
木    mù: tree, wood
林    lín: woods, forest, Chinese surname
本    běn: root, original, book, volume
体    tǐ: body / form / style / system
术    shù: skill, skill, art
李    lǐ: a family name, plum
休    xīu: rest, stop
果    guǒ: fruit, as expected
不    bù: not
还    hái / huán: still / return
杯    bēi: cup, glass
土    tǔ: soil, earth, local
坏    huài: bad, spoiled, broken, to break down
坐    zuò: to sit
干    gān / gàn: have to do with / dry, work
于    yú: at, on, in, to, than
千    qiān: thousand
女    nǚ － female, woman: thousand
好    hǎo / hào: good, very / like, be fond of
如    rú: as (if), like, such as
安    ān: safe, secure, install
家    jiā: family, home
我    wǒ: I, me
你    nǐ: you (singular)
也    yě: also, too
他    tā: he, him, other
她    tā: she, her
它    tā: it
水    shuǐ: water
小    xiǎo: small, little (in size)
少    shǎo / shào: few, little, less / children, young
半    bàn: half
工    gōng: work, industry
王    wáng: king, Chinese surname
主    zhǔ: host, main
注    zhù: pour, concentrate
住    zhù: to live
国    guó: country, state, nation
马    mǎ: horse, Chinese surname
吗    ma / má/ mǎ: a question particle for yes/no questions / what / morphine
妈    mā: mother, mom
父    fù: father
爸    bà: dad, father
吧    ba: modal particle indicating polite suggestion, ...right?, ...OK?
把    bǎ: hold, take, control, guard, regard as
的    de / dí / dì: (a possessive particle used after pronoun/noun) / really and truly / aim, target
儿    ér: child, son
几    jī / jǐ: table / several, how many
机    jī: machine, chance
样    yàng: appearance, sample
养    yǎng: raise, provide for
美    měi: beautiful
门    Mén: door, gate
们    mén: particle to plurals form
问    wèn: to ask
间    jiān / jiàn: room, measure for room / space in between
多    duō: many, much, more
